Date,EquipmentID,UsageHours,Temperature,Vibration,Pressure,Failure
2025-07-02 11:29:38,Pump1,9.1,67.29,0.0099,107.19,0
2025-07-02 11:59:38,Pump2,8.88,64.75,0.0154,109.56,0
2025-07-02 12:29:38,Pump2,11.53,64.93,0.0105,109.49,0
2025-07-02 12:59:38,Pump1,5.16,71.02,0.0162,117.76,0
2025-07-02 13:29:38,Pump1,1.88,61.08,0.011,109.34,0
2025-07-02 13:59:38,Fan1,8.52,62.21,0.0113,108.33,0
2025-07-02 14:29:38,Fan1,8.53,67.15,0.0087,105.68,0
2025-07-02 14:59:38,Fan1,8.9,59.39,0.0156,110.04,0
2025-07-02 15:29:38,Pump2,7.43,64.68,0.0132,111.61,0
2025-07-02 15:59:38,Pump1,2.76,69.31,0.017,107.7,0
2025-07-02 16:29:38,Fan1,8.93,65.13,0.0103,105.58,0
2025-07-02 16:59:38,Compressor1,8.92,71.37,0.0151,120.41,0
2025-07-02 17:29:38,Compressor2,6.93,73.12,0.0125,122.42,0
2025-07-02 17:59:38,Fan1,1.64,67.85,0.0087,106.86,0
2025-07-02 18:29:38,Compressor2,7.05,77.11,0.0157,118.19,0
2025-07-02 18:59:38,Pump2,5.11,67.9,0.0122,109.17,0
2025-07-02 19:29:38,Compressor2,7.94,73.09,0.0201,112.35,0
2025-07-02 19:59:38,Compressor1,7.28,72.0,0.0188,123.56,0
2025-07-02 20:29:38,Compressor1,1.6,72.01,0.0156,126.46,0
2025-07-02 20:59:38,Pump1,5.64,63.5,0.0159,109.59,0
2025-07-02 21:29:38,Compressor2,1.16,70.82,0.0194,120.33,0
2025-07-02 21:59:38,Compressor1,5.29,77.51,0.0149,115.9,0
2025-07-02 22:29:38,Compressor2,3.39,75.19,0.0164,115.47,0
2025-07-02 22:59:38,Compressor1,11.57,69.52,0.0243,117.62,0
2025-07-02 23:29:38,Pump1,1.44,70.92,0.0161,110.0,0
2025-07-02 23:59:38,Fan1,4.3,62.46,0.006,109.58,0
2025-07-03 00:29:38,Pump1,11.27,67.49,0.0117,105.76,0
2025-07-03 00:59:38,Fan1,1.09,61.08,0.0142,112.8,0
2025-07-03 01:29:38,Pump1,4.1,68.1,0.0184,109.52,0
2025-07-03 01:59:38,Fan1,5.66,60.47,0.0142,106.2,0
2025-07-03 02:29:38,Compressor1,1.83,75.66,0.0196,116.96,0
2025-07-03 02:59:38,Pump2,11.26,62.91,0.0102,110.42,0
2025-07-03 03:29:38,Fan1,7.83,67.14,0.0152,111.08,0
